plot,block,variety,fertilizer,tillers.morning,soil.cover.morning,SPAD.morning,Jubil.morning,tillers.afternoon,soil.cover.afternoon,SPAD.afternoon,Jubil.afternoon,Number.of.Ears,total.DM.with.bag,Dry.Weight,Dry.Weight.Ears.with.Grains,Dry.Weight.Stalks,Dry.Weight.Grains,Dry.Weight.Ears.and.Stalks,Weight.of.100.grains.1,Weight.of.100.grains.2,Weight.of.100.grains.3,N.Grain,C.Grain,S.Grain,N.Straw,C.Straw,S.Straw,DW.grain.g.m2,nr.ears.m2,DW.with.bag.g.m2,DW.ears_with_grains.g.m2,DW.without.bag.g.m2,DW.stalks.g.m2,DW.straw.g.m2,DW.grain.kg.ha,DW.straw.kg.ha,harvest.index,TKG.g
1,1,Bockris,0,24,33.4,40.7,NA,19,34,44.3,100,84,424.5,319.5,191.3,42.1,149.2,170.3,4.9,4.6,4.4,1.69755,40.25775,0.5437275,0.45125,41.4724,0.296748,596.8,336,1698,765.2,1278,512.8,681.2,5968,6812,0.466979656,46.33333333
2,1,Titlis,0,28,51.68,47,200,25,54,46.2,NA,137,544.9,439.9,237.9,54.8,183.1,256.8,4.3,4.2,4.2,1.84145,40.44775,0.537051,0.3431,41.34925,0.260902,732.4,548,2179.6,951.6,1759.6,808,1027.2,7324,10272,0.416230962,42.33333333
3,1,Bockris,90,29,42.05,46.2,NA,27,52,50.2,NA,168,695,590,329,82.7,246.3,343.7,4.3,4.3,4.3,2.01235,40.5957,0.565498,0.5741,41.7924,0.245572,985.2,672,2780,1316,2360,1044,1374.8,9852,13748,0.417457627,43
4,1,Titlis,90,29,55.82,50.3,NA,33,65,47.7,NA,141,557,452,219.3,57.2,162.1,289.9,4.3,4.2,4.2,2.5192,40.8615,0.540062,0.78815,41.021,0.2792295,648.4,564,2228,877.2,1808,930.8,1159.6,6484,11596,0.358628319,42.33333333
5,1,Bockris,180,31,31.72,54,NA,24,37,52.6,1000,159,613.4,508.4,257.6,73.7,183.9,324.5,3.5,3.4,3.5,2.42115,40.82035,0.5697725,0.93535,41.56805,0.2832445,735.6,636,2453.6,1030.4,2033.6,1003.2,1298,7356,12980,0.361723053,34.66666667
6,1,Titlis,180,28,48.62,57,1000,25,52,54.8,NA,176,671.6,566.6,256.5,75,181.5,385.1,4,4.5,4,2.6972,40.8503,0.517692,1.16135,40.9334,0.315434,726,704,2686.4,1026,2266.4,1240.4,1540.4,7260,15404,0.320331804,41.66666667
7,2,Bockris,90,18,12.98,47,NA,21,5.21,49.3,NA,138,629.5,524.5,297.2,76,221.2,303.3,4.2,4.1,4.2,2.22165,40.78555,0.6866705,0.592,41.92255,0.323177,884.8,552,2518,1188.8,2098,909.2,1213.2,8848,12132,0.421734986,41.66666667
8,2,Titlis,180,33,19.16,50.8,1500,20,11.6,51.2,NA,168,689.9,584.9,289.4,78.2,211.2,373.7,4.3,4.4,4.4,2.63355,40.9892,0.6101425,0.91865,41.50725,0.313173,844.8,672,2759.6,1157.6,2339.6,1182,1494.8,8448,14948,0.361087365,43.66666667
9,2,Titlis,0,40,36.8,45.5,150,19,15.1,44.3,NA,120,516.7,411.7,222.5,51.4,171.1,240.6,4.3,4.4,4.4,1.9344,40.61835,0.578662,0.35665,41.5687,0.262114,684.4,480,2066.8,890,1646.8,756.8,962.4,6844,9624,0.415593879,43.66666667
10,2,Bockris,180,26,36.14,54.5,NA,29,16.6,48.7,1000,176,691.6,586.6,292.7,96.8,195.9,390.7,3.6,3.7,3.7,2.42805,40.8946,0.60692,1.02045,41.6682,0.2875525,783.6,704,2766.4,1170.8,2346.4,1175.6,1562.8,7836,15628,0.333958404,36.66666667
11,2,Titlis,90,50,41.72,50.2,NA,34,15.75,49.5,NA,127,561.5,456.5,224.8,58.5,166.3,290.2,4.5,4.5,4.4,2.5964,40.91685,0.6001145,0.8649,41.06005,0.302641,665.2,508,2246,899.2,1826,926.8,1160.8,6652,11608,0.364293538,44.66666667
12,2,Bockris,0,19,17.64,49.9,NA,18,8.58,50.2,500,132,575.4,470.4,270.6,63.5,207.1,263.3,4.7,4.7,4.8,1.91225,40.5797,0.5982345,0.54075,41.23215,0.269086,828.4,528,2301.6,1082.4,1881.6,799.2,1053.2,8284,10532,0.440263605,47.33333333
13,3,Titlis,90,0,21.34,46.6,NA,30,23,49.1,NA,110,511.5,406.5,210.8,57.6,153.2,253.3,4.1,4.4,4.4,2.54745,40.8982,0.612665,0.61105,41.9278,0.3290655,612.8,440,2046,843.2,1626,782.8,1013.2,6128,10132,0.376875769,43
14,3,Bockris,180,0,28.59,53.5,NA,35,29,50.8,1800,154,704.3,599.3,331,82.1,248.9,350.4,4,4.1,4.1,2.39245,40.88485,0.6028995,0.84795,41.7374,0.2861815,995.6,616,2817.2,1324,2397.2,1073.2,1401.6,9956,14016,0.415317871,40.66666667
15,3,Bockris,0,0,35.6,41.2,NA,40,33,43.6,100,109,505.4,400.4,243.4,55.4,188,212.4,4.4,4.4,4.3,1.54915,40.4092,0.6562845,0.3908,41.83105,0.2657925,752,436,2021.6,973.6,1601.6,628,849.6,7520,8496,0.46953047,43.66666667
16,3,Titlis,180,0,45.66,48,1000,50,61,45.4,NA,144,529.4,424.4,246.8,63.1,183.7,240.7,4.2,4.3,4.3,2.5802,40.87525,0.558564,0.8026,41.37025,0.2678925,734.8,576,2117.6,987.2,1697.6,710.4,962.8,7348,9628,0.432846371,42.66666667
17,3,Titlis,0,0,35.86,44,400,35,31,45.6,NA,129,560.8,455.8,246.9,58.5,188.4,267.4,4.4,4.5,4.3,2.0791,40.67155,0.57713,0.4294,41.2732,0.257508,753.6,516,2243.2,987.6,1823.2,835.6,1069.6,7536,10696,0.413339184,44
18,3,Bockris,90,0,11.5,53.3,NA,20,15,52.4,NA,160,696.3,591.3,322.2,80.5,241.7,349.6,4.3,4.4,4.3,2.35335,40.74095,0.5711965,0.74495,41.4066,0.2670555,966.8,640,2785.2,1288.8,2365.2,1076.4,1398.4,9668,13984,0.408760359,43.33333333
