﻿# Identitas AG. Validity: 2010-01-01 - 2024-08-31. Evaluated: 2024-09-16
Year;Month;AG;AI;AR;BE;BL;BS;FR;GE;GL;GR;JU;LU;NE;NW;OW;SG;SH;SO;SZ;TG;TI;UR;VD;VS;ZG;ZH
2010;1;3019;610;845;14042;1127;10;5631;84;441;2429;2043;6383;1458;575;772;5512;378;1824;1675;3497;502;448;4446;1455;775;3513
2010;2;2855;542;828;14035;1017;14;5539;67;459;1608;1735;6650;1341;501;649;5419;361;1686;1491;3471;356;351;4074;923;839;3301
2010;3;3041;570;982;14074;1053;16;4967;52;483;1428;1841;6382;1635;436;673;5637;360;1736;1656;3396;380;330;3936;712;839;3809
2010;4;2561;482;733;11281;1007;9;3725;49;347;1289;1791;5598;1409;396;477;4327;334;1550;1250;2574;356;290;3085;467;727;3008
2010;5;2498;415;718;9588;772;6;3083;77;219;837;1426;4953;1347;276;378;4020;309;1365;1078;2510;238;186;2459;282;658;2930
2010;6;2383;369;674;8589;832;7;2904;23;206;683;1445;5030;1168;307;300;3888;317;1345;1110;2520;167;102;2120;196;703;2895
2010;7;2805;549;886;9993;996;8;3790;29;280;1046;1927;6317;1445;519;490;5302;414;1706;1542;3348;177;138;2459;202;845;3483
2010;8;3063;637;1100;11275;1123;20;4686;54;289;1999;2163;6656;1802;587;804;6236;412;1816;1678;3688;188;190;3366;426;881;3630
2010;9;3251;951;1231;13674;1145;11;5884;76;484;4640;2452;6303;1637;590;1190;7052;438;1853;1844;3950;366;591;4478;1121;931;3784
2010;10;3142;855;1162;15360;1066;11;6257;133;1005;5931;2234;6554;1515;753;1202;7203;400;1639;2101;3934;737;1047;5438;2732;951;3922
2010;11;2966;779;1012;14856;1130;15;6063;153;819;4060;2296;6523;1530;659;973;6557;429;1651;1970;3636;777;789;5084;3229;908;3924
2010;12;3006;658;902;13970;1137;19;5949;90;583;3098;2133;6201;1494;665;824;6056;366;1684;1754;3721;656;613;4628;2154;851;3729
2011;1;3001;554;852;14086;1149;16;5684;110;514;2465;2083;6606;1416;570;694;5581;369;1762;1652;3466;489;485;4255;1431;813;3594
2011;2;2970;481;790;13739;1024;21;5525;87;471;1454;1711;6485;1317;532;706;5442;386;1770;1556;3352;377;374;3810;872;774;3614
2011;3;3098;529;914;14501;1114;15;5235;62;459;1364;1974;6817;1782;471;592;5532;400;1697;1558;3517;410;303;3953;659;843;3710
2011;4;2432;474;811;10581;853;8;3482;54;375;1254;1591;5377;1354;336;520;4388;313;1433;1428;2606;374;262;3014;467;719;2835
2011;5;2566;409;704;9600;880;12;3118;67;223;788;1518;5307;1210;279;381;4064;345;1411;1140;2636;231;161;2383;280;673;2872
2011;6;2558;394;633;8605;858;14;2875;12;209;644;1491;5169;1152;300;308;3987;318;1384;985;2757;164;109;2151;182;674;2864
2011;7;2667;515;915;9795;946;10;3744;24;254;937;1763;6376;1569;457;423;5258;379;1625;1403;3226;167;113;2455;228;809;3480
2011;8;3090;658;1140;11668;1099;12;5067;52;334;2237;2193;6619;1746;572;772;6411;365;1738;1666;3862;222;158;3360;390;877;3691
2011;9;3150;939;1191;13752;1170;12;6354;69;504;4745;2475;6417;1679;628;1217;7003;434;1711;1827;3871;383;630;4589;1090;966;3806
2011;10;2999;892;1169;15538;1113;15;6429;138;953;5801;2194;6605;1533;686;1179;7150;456;1644;2175;3878;735;962;5397;2857;909;3968
2011;11;2875;693;984;14539;1113;15;6126;151;765;4013;2242;6549;1692;691;977;6199;376;1664;1870;3603;806;705;5222;3243;871;3746
2011;12;2964;612;920;13968;1112;11;6019;105;549;3002;2215;6323;1480;611;821;5926;423;1657;1723;3579;626;644;4818;2036;874;3732
2012;1;3103;560;871;14564;1037;15;5801;100;493;2275;2043;6556;1436;561;712;5642;400;1787;1661;3375;498;468;4222;1396;847;3648
2012;2;2945;581;883;14658;1078;15;5704;89;578;1647;1839;6950;1517;564;693;5858;376;1747;1753;3443;394;450;3897;799;798;3575
2012;3;2967;560;852;13788;1073;15;4971;70;412;1411;1921;6486;1772;481;582;5368;345;1651;1606;3339;429;299;3713;654;850;3687
2012;4;2449;385;724;10397;905;19;3510;43;321;1263;1634;5145;1296;311;446;4220;312;1561;1274;2580;343;261;2930;426;664;2976
2012;5;2489;377;635;9461;848;13;3114;64;228;796;1554;5396;1188;275;359;3814;321;1351;1101;2568;215;151;2491;271;637;2893
2012;6;2228;446;687;8239;799;9;2793;26;183;588;1321;4909;1192;290;309;3835;312;1301;1002;2412;170;104;1903;204;673;2710
2012;7;2704;515;854;10081;1014;17;3929;40;219;1023;1690;6007;1518;531;422;4973;355;1480;1339;3323;203;119;2590;187;806;3490
2012;8;3026;696;1143;11469;1127;14;4855;41;342;2304;2148;6737;1754;610;906;6704;425;1680;1830;3733;244;233;3264;393;948;3891
2012;9;3049;959;1179;13672;1108;15;5968;82;494;4792;2403;6390;1763;617;1222;6770;419;1671;1834;3696;440;553;4415;1095;893;3849
2012;10;3164;850;1128;15689;1112;15;6821;136;926;5383;2426;6599;1693;692;1244;7167;408;1729;2080;3956;749;988;5431;2782;932;3954
2012;11;2901;698;999;13903;1090;10;5972;155;733;4044;2154;6271;1562;728;984;6459;393;1573;1854;3532;775;705;4994;3164;843;3585
2012;12;2941;602;853;13366;1042;11;6084;117;545;2891;2013;6250;1425;605;860;5611;404;1724;1686;3488;589;595;4645;1938;810;3631
2013;1;3118;628;865;14817;1131;12;5832;105;477;2432;2114;6572;1544;594;801;5897;405;1692;1767;3599;543;502;4378;1507;923;3878
2013;2;2581;489;795;12438;951;13;4748;59;431;1594;1522;6214;1267;474;610;5227;312;1482;1566;3153;351;383;3120;702;773;3259
2013;3;2752;557;910;12616;1040;14;4776;55;487;1281;1739;6178;1546;480;610;5228;341;1650;1582;3200;385;302;3561;599;833;3476
2013;4;2350;408;788;10354;863;15;3424;58;288;1159;1525;5151;1384;375;462;4315;299;1375;1271;2556;323;282;2839;451;669;2992
2013;5;2297;356;626;9255;850;7;3232;76;219;801;1480;4986;1242;267;328;3632;344;1368;1126;2371;226;148;2468;258;646;2645
2013;6;2444;406;626;9110;886;13;3205;38;159;652;1587;5218;1189;275;292;3904;344;1323;1034;2614;191;110;2291;204;764;2993
2013;7;2858;514;878;10612;955;21;4192;14;246;1062;1802;6454;1499;431;487;5344;379;1595;1434;3414;200;116;2601;229;885;3440
2013;8;3004;672;1082;11859;1096;12;4926;46;337;2310;2258;6712;1823;632;831;6195;393;1801;1675;3695;236;197;3339;396;930;3831
2013;9;2962;899;1185;13538;1099;21;5807;73;464;4646;2399;6349;1565;569;1194;6759;391;1685;1960;3788;401;549;4349;1054;866;3600
2013;10;3064;920;1238;15322;1118;13;6355;139;1029;5914;2256;6822;1593;747;1305;7429;400;1693;2136;4012;740;1028;5160;2843;975;3963
2013;11;2831;713;952;14395;1193;9;6275;148;711;4044;2242;6458;1641;641;1011;6279;356;1648;1928;3542;813;722;5050;3080;893;3833
2013;12;3044;628;945;14080;1111;14;6148;128;565;2986;2209;6521;1520;646;886;5988;381;1731;1710;3531;631;566;4683;1982;894;3771
2014;1;2871;558;841;13308;1069;9;5434;118;414;2277;1886;6327;1410;595;753;5485;373;1654;1694;3303;492;502;3984;1314;853;3636
2014;2;2625;469;700;12496;933;11;4999;56;389;1585;1535;5929;1217;452;573;4946;323;1461;1426;3038;359;351;3420;802;740;3266
2014;3;2854;423;755;12992;1010;12;5008;60;380;1260;1617;6425;1442;429;516;4867;333;1590;1420;3198;360;290;3544;599;879;3540
2014;4;2537;449;840;11291;952;16;3825;41;404;1082;1630;5616;1382;356;557;4509;372;1497;1347;2779;301;274;3094;437;747;3218
