﻿# Identitas AG. Validity: 2024-07-31. Evaluated: 2024-08-19
commune;count;countPerSurfacekm2;countPer100Inhabitants;top5breeds;top5names
Scuol;3478;7.90000000000000;75.20000000000000;Braunvieh  1802, Kreuzung  653, Original Braunvieh  332, Holstein  253, Angus  252;Olivia  17, Nora  14, Alma  12, Amanda  12, Diana  12, Fiona  12, Mona  12
Glarus Süd;6573;15.30000000000000;69.30000000000000;Braunvieh  2782, Original Braunvieh  1661, Kreuzung  1015, Holstein  240, Angus  197;Bianca  43, Bella  28, Laura  28, Nina  28, Ronja  27
Zernez;1158;3.40000000000000;76.90000000000001;Kreuzung  285, Angus  254, Braunvieh  212, Limousin  136, Grauvieh  80;Fiona  6, Fränzi  6, Diana  5, Gina  5, Luna  5, Olivia  5, Viola  5
Surses;4281;13.20000000000000;180.09999999999999;Braunvieh  1772, Kreuzung  851, Original Braunvieh  430, Angus  326, Holstein  306;Bella  18, Ronja  17, Belinda  16, Tina  16, Gina  15
Val de Bagnes;2195;7.30000000000000;21.30000000000000;Eringer  1548, Swiss Fleckvieh  166, Original Braunvieh  87, Montbéliarde  72, Red Holstein  55, Simmental  55;Caprice  8, Cerise  8, Moustique  8, Brunette  7, Couronne  7, Perle  7, Promesse  7
Davos;3073;10.80000000000000;28.40000000000000;Braunvieh  1337, Kreuzung  456, Holstein  300, Angus  290, Original Braunvieh  172;Bella  17, Fiona  17, Olivia  14, Bea  11, Gloria  11, Luna  11
Bregaglia;960;3.80000000000000;61.70000000000000;Braunvieh  403, Kreuzung  349, Original Braunvieh  63, Limousin  58, Grauvieh  51;Bella  7, Clara  6, Elba  6, Fiamma  5, Olga  5
Anniviers;1745;7.20000000000000;63.60000000000000;Eringer  686, Angus  266, Braunvieh  201, Red Holstein  185, Limousin  133;Tulipe  5
Zermatt;92;0.40000000000000;1.60000000000000;Simmental  34, Swiss Fleckvieh  19, Eringer  16, Grauvieh  6, Original Braunvieh  6;
Innertkirchen;1056;4.50000000000000;98.50000000000000;Braunvieh  537, Original Braunvieh  198, Kreuzung  95, Swiss Fleckvieh  77, Red Holstein  34;Fiona  9, Gloria  9, Goldi  6, Sina  6, Flavia  5, Kira  5, Mia  5, Nina  5, Paula  5, Petra  5
Klosters;1397;6.40000000000000;31.60000000000000;Braunvieh  496, Kreuzung  274, Original Braunvieh  171, Grauvieh  127, Holstein  114;Bella  10, Mia  8, Arve  6, Olivia  6, Enzian  5, Gina  5, Gloria  5, Heidi  5, Petra  5, Viola  5
Verzasca;121;0.60000000000000;15.10000000000000;Original Braunvieh  46, Braunvieh  30, Kreuzung  23, Grauvieh  14, Highland Cattle  13, Hinterwaelder  13;
Evolène;1059;5.00000000000000;64.30000000000000;Eringer  769, Kreuzung  78, Evolene  40, Simmental  39, Swiss Fleckvieh  23;Tornade  7, Clairon  5, Fauvette  5, Maya  5, Princesse  5, Rebelle  5, Saphir  5
Blenio;1371;6.80000000000000;77.50000000000000;Braunvieh  843, Kreuzung  151, Holstein  110, Original Braunvieh  64, Swiss Fleckvieh  60;Tina  8, Bianca  7, Lea  7, Luna  7, Stella  7
Guttannen;166;0.80000000000000;67.80000000000000;Braunvieh  103, Original Braunvieh  15, Grauvieh  13, Hinterwaelder  13, Kreuzung  10;
Val Müstair;1284;6.50000000000000;90.20000000000000;Braunvieh  474, Kreuzung  332, Limousin  246, Angus  97, Simmental  96;Ella  7, Bianca  6, Lara  6, Lea  5, Lisa  5, Mona  5, Nora  5, Pamela  5, Tina  5, Viola  5
Poschiavo;1532;8.00000000000000;44.50000000000000;Kreuzung  426, Braunvieh  363, Limousin  305, Angus  159, Original Braunvieh  159;Heidi  10, Lisa  10, Luna  10, Gloria  8, Lea  6, Lena  6, Nina  6
Bergün Filisur;951;5.00000000000000;103.50000000000000;Kreuzung  282, Angus  157, Braunvieh  154, Original Braunvieh  92, Simmental  63;Mara  5
Lavizzara;541;2.90000000000000;108.20000000000000;Highland Cattle  170, Braunvieh  159, Original Braunvieh  49, Kreuzung  46, Grauvieh  26;
Vals;1587;9.00000000000000;167.80000000000001;Braunvieh  478, Kreuzung  371, Original Braunvieh  150, Holstein  115, Angus  69, Limousin  69;Daisy  10, Gloria  10, Edi  9, Fiona  9, Heidi  9
Fieschertal;28;0.20000000000000;8.60000000000000;Braunvieh  13, Kreuzung  5;
Muotathal;4369;25.40000000000000;125.90000000000001;Braunvieh  1695, Original Braunvieh  1187, Kreuzung  743, Holstein  254, Limousin  160;Bella  19, Nora  17, Luna  16, Wendy  16, Gina  15
Grindelwald;1941;11.30000000000000;51.10000000000000;Simmental  1140, Swiss Fleckvieh  268, Kreuzung  138, Red Holstein  86, Original Braunvieh  80;Sina  14, Bella  12, Enzian  11, Arnika  9, Bea  9, Fiona  9, Leonie  9
